"attribute","p_value_anova","p_value_kruskal","eta2"
"HResistance",0.000191891006730191,0.0301973834223185,0.942320935607923
"MCream",0.00104964088640112,0.0862935864993706,0.898371952997031
"MFat",0.00142367442020871,0.0657285286165303,0.887504048337712
"MButter",0.00243601026430733,0.122456428252982,0.865447107598011
"MFirm",0.0028402911089404,0.0398663678237248,0.858381186517534
"MMeltdown",0.0083519813445974,0.039866367823725,0.797108818183122
"MResistance",0.0108218041921061,0.0470965487516893,0.778809455760693
"EShiny",0.015177552264639,0.039866367823725,0.752409536781524
"MChalky",0.0216208893252886,0.104815296837625,0.721414921446869
"NOldmilk",0.0306148316842362,0.117785643278489,0.687168393190782
"MSour",0.0359438016148251,0.0862935864993706,0.669979182167836
"MSweet",0.0491091959590845,0.117785643278489,0.633797806587762
"MCreaminess",0.103546014699307,0.136847393662727,0.530418337084388
"EGrainy",0.12039801125871,0.175715531670415,0.506212864608846
"MSalt",0.166662454835363,0.104815296837625,0.449683427610129
"EYellow",0.22164616136408,0.117785643278489,0.394816974652392
"EGrey",0.233546317254573,0.165298888221586,0.384174491031364
"EWhite",0.327416566034283,0.28650479686019,0.310765698484719
"NCream",0.381987328515192,0.117785643278489,0.274423872284663
"NButter",0.487371256530527,0.493834145729871,0.21303882985707
"MGrainy",0.585191418982686,0.493834145729871,0.16356412855884
"NAcidic",0.676778664906803,0.961857576273224,0.122024858353453
"EGreen",0.989502750858238,0.87032472583339,0.00351139853517289
