"representation","method","k","silhouette","calinski_harabasz","davies_bouldin","dunn_index","within_ss","min_cluster_size","max_cluster_size","balance_ratio","cophenetic_correlation","rank_silhouette","rank_ch","rank_db","rank_dunn","rank_balance","rank_total"
"selected_signal_positive_corr_mds2","kmeans",4,0.421539217969011,15.9744004842622,0.295936436063088,1.00319090218102,0.706472542883532,1,4,0.25,0.86962128693875,42,8,18,29,147,48.8
"selected_signal_positive_corr_mds2","pam",4,0.421539217969011,15.9744004842622,0.295936436063088,1.00319090218102,0.706472542883532,1,4,0.25,0.86962128693875,42,8,18,29,147,48.8
"selected_signal_positive_corr_mds2","hclust_ward",4,0.421539217969011,15.9744004842622,0.295936436063088,1.00319090218102,0.706472542883532,1,4,0.25,0.86962128693875,42,8,18,29,147,48.8
"selected_signal_positive_corr_mds2","kmeans",5,0.419173062522759,22.9221927185616,0.232432271723735,0.912305124510933,0.312586635746622,1,3,0.333333333333333,0.86962128693875,75.5,1.5,2.5,75.5,91.5,49.3
"selected_signal_positive_corr_mds2","hclust_ward",5,0.419173062522759,22.9221927185616,0.232432271723735,0.912305124510933,0.312586635746622,1,3,0.333333333333333,0.86962128693875,75.5,1.5,2.5,75.5,91.5,49.3
"selected_signal_positive_pca3","kmeans",4,0.491731648314295,13.7051511802088,0.450783195055453,0.982479297212661,0.826851062602517,1,4,0.25,0.810340548994978,11,23,53,50,147,56.8
"selected_signal_positive_pca3","pam",4,0.491731648314295,13.7051511802088,0.450783195055453,0.982479297212661,0.826851062602517,1,4,0.25,0.810340548994978,11,23,53,50,147,56.8
"selected_signal_positive_pca3","hclust_ward",4,0.491731648314295,13.7051511802088,0.450783195055453,0.982479297212661,0.826851062602517,1,4,0.25,0.810340548994978,11,23,53,50,147,56.8
"selected_signal_positive_pca2","kmeans",3,0.496447024198192,13.10099221206,0.617435342301481,0.748137782027356,1.31379262739258,2,4,0.5,0.813617033175766,5,30,88,106,63,58.4
"selected_signal_positive_pca2","pam",3,0.496447024198192,13.10099221206,0.617435342301481,0.748137782027356,1.31379262739258,2,4,0.5,0.813617033175766,5,31.5,88,106,63,58.7
"selected_signal_positive_pca2","hclust_ward",3,0.496447024198192,13.10099221206,0.617435342301481,0.748137782027356,1.31379262739258,2,4,0.5,0.813617033175766,5,31.5,88,106,63,58.7
"selected_signal_positive_pca2","kmeans",4,0.474234806451949,14.622783865975,0.456084356657205,0.951620396785239,0.721440501886706,1,4,0.25,0.813617033175766,17,14,56,60,147,58.8
"selected_signal_positive_pca2","pam",4,0.474234806451949,14.622783865975,0.456084356657205,0.951620396785239,0.721440501886706,1,4,0.25,0.813617033175766,17,14,56,60,147,58.8
