"Var1","Var2","Freq"
"33%'","1",24
"24%'","1",0
"16%'","1",0
"D-CH","1",0
"A-Pr","1",0
"B-Pr","1",0
"P","1",0
"C-CH","1",0
"P+Ar","1",0
"33%'","2",0
"24%'","2",24
"16%'","2",0
"D-CH","2",0
"A-Pr","2",0
"B-Pr","2",0
"P","2",0
"C-CH","2",0
"P+Ar","2",0
"33%'","3",0
"24%'","3",0
"16%'","3",24
"D-CH","3",0
"A-Pr","3",0
"B-Pr","3",0
"P","3",0
"C-CH","3",0
"P+Ar","3",0
"33%'","4",0
"24%'","4",0
"16%'","4",0
"D-CH","4",24
"A-Pr","4",0
"B-Pr","4",0
"P","4",0
"C-CH","4",0
"P+Ar","4",0
"33%'","5",0
"24%'","5",0
"16%'","5",0
"D-CH","5",0
"A-Pr","5",24
"B-Pr","5",0
"P","5",0
"C-CH","5",0
"P+Ar","5",0
"33%'","6",0
"24%'","6",0
"16%'","6",0
"D-CH","6",0
"A-Pr","6",0
"B-Pr","6",24
"P","6",0
"C-CH","6",0
"P+Ar","6",0
"33%'","7",0
"24%'","7",0
"16%'","7",0
"D-CH","7",0
"A-Pr","7",0
"B-Pr","7",0
"P","7",24
"C-CH","7",0
"P+Ar","7",0
"33%'","8",0
"24%'","8",0
"16%'","8",0
"D-CH","8",0
"A-Pr","8",0
"B-Pr","8",0
"P","8",0
"C-CH","8",24
"P+Ar","8",0
"33%'","9",0
"24%'","9",0
"16%'","9",0
"D-CH","9",0
"A-Pr","9",24
"B-Pr","9",0
"P","9",0
"C-CH","9",0
"P+Ar","9",0
"33%'","10",0
"24%'","10",0
"16%'","10",0
"D-CH","10",0
"A-Pr","10",0
"B-Pr","10",0
"P","10",0
"C-CH","10",0
"P+Ar","10",24
